Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
29 ALEWIFE BROOK PKWY,185-42,185,42,5323,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.402304780599898, -71.134265010899895)"
70 MATIGNON RD,185-48,185,48,4254,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.402275861, -71.133773709099898)"
66 MATIGNON RD,185-49,185,49,4703,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4022327218999, -71.133621371900006)"
58 MATIGNON RD,185-55,185,55,4777,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.402165838099897, -71.133483996300001)"
27 ALEWIFE BROOK PKWY,185-43,185,43,5105,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4021964858999, -71.134353345999898)"
53 MURRAY HILL RD,185-14,185,14,3501,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.4021302280999, -71.134086925999895)"
56 MATIGNON RD,185-51,185,51,4573,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4020772914999, -71.133355925299895)"
49 MURRAY HILL RD,185-15,185,15,3896,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.402065463699898, -71.133957351999896)"
45 MURRAY HILL RD,185-16,185,16,4283,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401999154199899, -71.1338270201)"
25 ALEWIFE BROOK PKWY,185-23,185,23,4885,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.4020299499999, -71.1345712862)"
50 MATIGNON RD,185-10,185,10,4238,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401984313299899, -71.133232125999896)"
39 MURRAY HILL RD,185-17,185,17,4408,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401928956500001, -71.133696722400003)"
46 MATIGNON RD,185-11,185,11,4039,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.4018931682999, -71.133107648700005)"
35 MURRAY HILL RD,185-18,185,18,4370,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4018494679, -71.133574063200001)"
54 MURRAY HILL RD,185-26,185,26,6305,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4018224577, -71.134436666699898)"
40 MATIGNON RD,185-12,185,12,3900,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401800577300001, -71.132981729899896)"
31 MURRAY HILL RD,185-19,185,19,4136,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401777010000004, -71.133445505699896)"
48 MURRAY HILL RD,185-27,185,27,6064,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401745858399899, -71.134295394099894)"
27 MURRAY HILL RD,185-20,185,20,3768,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4017067873, -71.133306763700006)"
46 MURRAY HILL RD,185-28,185,28,5751,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401668747899897, -71.1341533583999)"
36 MATIGNON RD,185-13,185,13,3647,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401705427499898, -71.1328506949)"
25 FOCH ST,186-3,186,3,4502,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401655410399897, -71.134889722099899)"
21 MURRAY HILL RD,185-21,185,21,3423,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4016372623, -71.133166795400001)"
40 MURRAY HILL RD,185-29,185,29,5448,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401593990099897, -71.134011032900005)"
23 FOCH ST,186-4,186,4,4488,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401592149400003, -71.134745063799897)"
36 MURRAY HILL RD,185-30,185,30,5147,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401525876800001, -71.133867886800004)"
17 MURRAY HILL RD,185-22,185,22,2937,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4015646950999, -71.133022679299899)"
21 FOCH ST,186-5,186,5,4398,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.401526387700002, -71.134598459399896)"
26 MATIGNON RD,185-33,185,33,3924,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401513793900001, -71.1326495494)"
32 MURRAY HILL RD,185-31,185,31,4941,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401454165600001, -71.133723049799897)"
17 FOCH ST,186-6,186,6,4176,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.401463520100002, -71.134452506499898)"
22 MATIGNON RD,185-34,185,34,3828,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401429843000003, -71.132534038200006)"
26 MURRAY HILL RD,185-32,185,32,5085,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.401393077199899, -71.133570514799899)"
13 FOCH ST,186-7,186,7,4009,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401397443100002, -71.134312591899899)"
26 FOCH ST,186-94,186,94,5002,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.401365579699899, -71.135063220999896)"
11 FOCH ST,186-8,186,8,3951,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401337186900001, -71.134165763499894)"
18 MATIGNON RD,185-44,185,44,5719,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401300193799898, -71.132472885699897)"
14 MURRAY HILL RD,185-35,185,35,4906,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401333637900002, -71.132782650899898)"
16 MURRAY HILL RD,186-76,186,76,4975,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401278072700002, -71.133289152900005)"
7 FOCH ST,186-9,186,9,3854,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401275842499899, -71.134024245000006)"
10 GLADSTONE ST,186-35,186,35,3039,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401300734000003, -71.134800057099895)"
14 MATIGNON RD,185-45,185,45,5013,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401221769400003, -71.132335709299895)"
5 FOCH ST,186-10,186,10,4080,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401216543399897, -71.1338807801)"
23 MULLER AVE,186-77,186,77,4043,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401201143500003, -71.132985746100005)"
8 GLADSTONE ST,186-36,186,36,3400,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401201683799897, -71.134876005699894)"
10 MATIGNON RD,185-46,185,46,4280,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401142407899897, -71.132204782200006)"
19 MULLER AVE,186-78,186,78,3729,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401133813400001, -71.132834994000007)"
17 MULLER AVE,186-79,186,79,4584,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401056489200002, -71.132698888199897)"
4 MATIGNON RD,185-47,185,47,4079,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401057115500002, -71.132060594699894)"
4 GLADSTONE ST,186-92,186,92,3400,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4010990122, -71.134954297299899)"
69 CLARENDON AVE,184-2,184,2,6700,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.400984437799899, -71.130995057800007)"
33 RICHARD AVE,186-98,186,98,3647,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.401006146199897, -71.1332681519999)"
9 MULLER AVE,186-80,186,80,5320,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400977206299899, -71.132562413800002)"
23 NEWMAN ST,186-21,186,21,3825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.401017614200001, -71.134136336400005)"
2595 MASSACHUSETTS AVE,186-99,186,99,10816,112,Residential,>8-UNIT-APT, ,18, , ,YES, ,"(42.400895792199897, -71.1351187791999)"
49 CHURCHILL AVE,186-89,186,89,3776,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400952908999898, -71.132262464600004)"
3 GLADSTONE ST,186-30,186,30,3825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400937683199899, -71.134583320600001)"
19 NEWMAN ST,186-22,186,22,3825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4009192466999, -71.134213568899895)"
27 RICHARD AVE,186-60,186,60,3825,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400906966199898, -71.133336331600006)"
63-67 CLARENDON AVE,184-3,184,3,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400866175200001, -71.131143208799898)"
7 MULLER AVE,186-88,186,88,4254,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400851994699899, -71.132476636700005)"
1 GLADSTONE ST,186-29,186,29,3825,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4008352906, -71.134662777000003)"
15 NEWMAN ST,186-23,186,23,3825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.400817123000003, -71.134292663099899)"
20 NEWMAN ST,186-18,186,18,4409,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4008010322, -71.133792698999898)"
23-25 RICHARD AVE,186-61,186,61,4591,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.400794847900002, -71.133418324800004)"
1 MULLER AVE,186-83,186,83,4747,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400752532399899, -71.132341187500003)"
30 RICHARD AVE,186-66,186,66,4878,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.4007640260999, -71.132920673499896)"
2585 MASSACHUSETTS AVE,186-28,186,28,3915,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.400712439700001, -71.1348556798999)"
11 NEWMAN ST,186-24,186,24,3825,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4007144471, -71.134373478300006)"
16 NEWMAN ST,186-17,186,17,4428,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.4006815207999, -71.133886920400002)"
