ID,PrimaryStreet,LocationDescription,Location,Source,1972,1981,1987,1989,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,AMPeak1972,AMPeak1981,AMPeak1987,AMPeak1989,AMPeak1994,AMPeak1995,AMPeak1996,AMPeak1997,AMPeak1998,AMPeak1999,AMPeak2000,AMPeak2001,AMPeak2002,AMPeak2003,AMPeak2004,AMPeak2005,AMPeak2006,AMPeak2007,AMPeak2008,AMPeak2009,AMPeak2010,AMPeak2011,AMPeak2012,AMPeak2013,AMPeak2014,PMPeak1972,PMPeak1981,PMPeak1987,PMPeak1989,PMPeak1994,PMPeak1995,PMPeak1996,PMPeak1997,PMPeak1998,PMPeak1999,PMPeak2000,PMPeak2001,PMPeak2002,PMPeak2003,PMPeak2004,PMPeak2005,PMPeak2006,PMPeak2007,PMPeak2008,PMPeak2009,PMPeak2010,PMPeak2011,PMPeak2012,PMPeak2013,PMPeak2014
1,Massachusetts Avenue,South of Upland Road,"(42.3879544330999, -71.119331699400007)","Cordon Counts, Transportation Data Corporation",,,,,,,,,,29562,,,,,,,0,,0,,,0,,,,,,,,,,,,,1682,,,,,,,,,0,,,0,,,,,,,,,,,,,2143,,,,,,,,,0,,,0,,,
2,Upland Road,West of Massachusetts Avenue,"(42.387467527399899, -71.120659863200004)","Cordon Counts, Accurate Counts 5/14/99",,,,,,,,,,5507,,,,,,,0,,0,,,0,,,,,,,,,,,,,379,,,,,,,,,0,,,0,,,,,,,,,,,,,454,,,,,,,,,0,,,0,,,
3,Brattle Street,East of Ash Street,"(42.375767443500003, -71.124021953400003)","Cordon Counts, Accurate counts 5/10/99",,,,,,,,,,2771,,,,,,,0,,0,,,0,,,,,,,,,,,,,149,,,,,,,,,0,,,0,,,,,,,,,,,,,276,,,,,,,,,0,,,0,,,
4,Broadway,West of Prescott St,"(42.374517069500001, -71.1138922863)","Cordon Counts, Accurate Counts 5/10/99",,,,,,,,,,12636,,,,,,,0,,0,,,0,,,,,,,,,,,,,771,,,,,,,,,0,,,0,,,,,,,,,,,,,891,,,,,,,,,0,,,0,,,
5,Main Street,Between Portland St. & Osborn St.,"(42.363037104199897, -71.094447693800007)","650 Main Street Office and/or R & D Project, TIS, Nov. 6, 2008.  Novartis TIS, Sept. 2011. counts done May 2011.",,,,,,,,,,0,,,,,,,0,,8629,,,7597,,,,,,,,,,,,,0,,,,,,,,,678,,,519,,,,,,,,,,,,,0,,,,,,,,,764,,,684,,,
6,Portland Street,Between Main St. & Albany St.,"(42.362449417800001, -71.093699905400001)","650 Main Street Office and/or R&D Project TIS, Nov. 6, 2008.",,,,,,,,,,0,,,,,,,0,,4174,,,0,,,,,,,,,,,,,0,,,,,,,,,374,,,0,,,,,,,,,,,,,0,,,,,,,,,346,,,0,,,
8,Water Street,North of O'Brien Highway,"(42.372216920200003, -71.078212993500003)",22 Water Street TIS November of 11/17/06,,,,,,,,,,0,,,,,,,680,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
9,O'Brien Highway,West of Water Street,"(42.372162958499899, -71.078919627600001)","22 Water Street TIS November 17, 2006",,,,,,,,,,0,,,,,,,23850,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
17,Mass. Ave,West of Prescott St.,"(42.375402603799898, -71.113790286799897)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,14118,,,,,,,0,,0,,,0,,,,,,,,,,,,,1151,,,,,,,,,0,,,0,,,,,,,,,,,,,1045,,,,,,,,,0,,,0,,,
18,Concord Avenue,East of Chauncy Street,"(42.378632313099899, -71.1242756085)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,13905,,,,,,,0,,0,,,0,,,,,,,,,,,,,1210,,,,,,,,,0,,,0,,,,,,,,,,,,,1013,,,,,,,,,0,,,0,,,
19,Garden Street,East of Chauncy St.,"(42.378812864899899, -71.124059896099894)","Cordon Counts, Accurate Counts 5/14/1999",,,,,,,,,,6060,,,,,,,0,,0,,,0,,,,,,,,,,,,,431,,,,,,,,,0,,,0,,,,,,,,,,,,,516,,,,,,,,,0,,,0,,,
20,Harvard Street,West of Prescott St.,"(42.3721339628, -71.114517466300001)","Cordon Counts, Accurate Counts 5/10/99",,,,,,,,,,4201,,,,,,,0,,0,,,0,,,,,,,,,,,,,347,,,,,,,,,0,,,0,,,,,,,,,,,,,283,,,,,,,,,0,,,0,,,
21,Kirkland Street,West of Sumner Road,"(42.376958700099898, -71.1125587473)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,11254,,,,,,,0,,0,,,0,,,,,,,,,,,,,773,,,,,,,,,0,,,0,,,,,,,,,,,,,833,,,,,,,,,0,,,0,,,
22,Mason Street,East of Brattle St.,"(42.3760679588, -71.124260774099895)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,13904,,,,,,,0,,0,,,0,,,,,,,,,,,,,1133,,,,,,,,,0,,,0,,,,,,,,,,,,,1164,,,,,,,,,0,,,0,,,
23,Massachusetts Avenue,East of Bow St.,"(42.372194, -71.115606999400001)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,11440,,,,,,,0,,0,,,0,,,,,,,,,,,,,622,,,,,,,,,0,,,0,,,,,,,,,,,,,858,,,,,,,,,0,,,0,,,
24,Mount Auburn Street,East of Dewolfe St.,"(42.3710271226999, -71.115939789799896)","Cordon Counts, Transportation Data Corp.",,,,,,,,,,11728,,,,,,,0,,0,,,0,,,,,,,,,,,,,919,,,,,,,,,0,,,0,,,,,,,,,,,,,778,,,,,,,,,0,,,0,,,
25,Massachusetts Avenue,South of Chauncy St.,"(42.379749856099899, -71.119943104599898)","Cordon Counts, Transportation Data Corp; 2013 TP&T Citywide Counts;",,,,,,,,,,28898,,,,,,,0,,0,,,0,,16079,,,,,,,,,,,1848,,,,,,,,,0,,,0,,1173,,,,,,,,,,,2025,,,,,,,,,0,,,0,,1135,
26,Mount Auburn Street,East of Hawthorne St.,"(42.3744140083, -71.126148406300004)","Cordon Counts, Accurate Counts 5/14/99",,,,,,,,,,8773,,,,,,,0,,0,,,0,,,,,,,,,,,,,671,,,,,,,,,0,,,0,,,,,,,,,,,,,658,,,,,,,,,0,,,0,,,
29,Massachusetts Avenue,North of Davenport,"(42.388915748700001, -71.120582931100003)",Cordon Counts,,,,,,,,,,53931,,,,,,,0,,0,,,0,,,,,,,,,,,,,3397,,,,,,,,,0,,,0,,,,,,,,,,,,,3502,,,,,,,,,0,,,0,,,
30,Alewife Brook Parkway,West Whittemore Ave.,"(42.398783647000002, -71.141081925600005)",Cordon Counts,,,,,,,,,34573,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2498,0,,,,,,,,,0,,,0,,,,,,,,,,,,2257,0,,,,,,,,,0,,,0,,,
31,Ames Street,North of Memorial Drive,"(42.359621993200001, -71.0874156191)",Cordon Counts,1800,2037,3290,,,,,,2205,0,,,,,,,0,,0,,,0,,,,,,,,,,,,106,0,,,,,,,,,0,,,0,,,,,,,,,,,,221,0,,,,,,,,,0,,,0,,,
32,Beech Street,East of Massachusetts Ave.,"(42.389816870399898, -71.121248993600005)",Cordon Counts,11945,8681,9991,,,,,,11358,0,,,,,,,0,,0,,,0,,,,,,,,,,,,855,0,,,,,,,,,0,,,0,,,,,,,,,,,,824,0,,,,,,,,,0,,,0,,,
33,Binney Street,West of Land Boulevard,"(42.365146000400003, -71.077499000399897)",Cordon Counts,,,,,,,,,11619,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1210,0,,,,,,,,,0,,,0,,,,,,,,,,,,903,0,,,,,,,,,0,,,0,,,
34,Brattle Street,West of Lexington Avenue,"(42.376305472699897, -71.139952697300004)",Cordon Counts,9388,10484,7922,,,,,,11264,0,,,,,,,0,,0,,,0,,,,,,,,,,,,978,0,,,,,,,,,0,,,0,,,,,,,,,,,,970,0,,,,,,,,,0,,,0,,,
35,Brookline Street,South of Granite St.,"(42.355013722400003, -71.110336376500001)","72, 81, 87, 98 Cordon Counts. CDD Cambridgeport Traffic Counts, Vollmer, Oct. 31, 2006 memo for 2002, 2003 and 2006. TPT Cambridgeport ADT's May 2011.  TPT Cambridgeport ADT's May 2011.",14318,18964,16134,,,,,,13184,0,,,18830,18869,,,16298,,0,,,11186,,,,,,,,,,,,1054,0,,,,,,,,,0,,,0,,,,,,,,,,,,1160,0,,,,,,,,,0,,,0,,,
36,Cambridge Street,East of First Street,"(42.370613520200003, -71.076746822100006)",Cordon Counts,10387,11033,9619,,,,,,15982,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1016,0,,,,,,,,,0,,,0,,,,,,,,,,,,1327,0,,,,,,,,,0,,,0,,,
37,Cameron Avenue,East of Fairoaks,"(42.398071419200001, -71.129508056199896)",Cordon Counts,3290,7353,5823,,,,,,5936,0,,,,,,,0,,0,,,0,,,,,,,,,,,,578,0,,,,,,,,,0,,,0,,,,,,,,,,,,513,0,,,,,,,,,0,,,0,,,
38,Charlestown Avenue,(Gilmore Bridge) North of O'Brien Highway,"(42.3695353393, -71.072825151999893)",Cordon Counts,,,,,,,,,40175,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2495,0,,,,,,,,,0,,,0,,,,,,,,,,,,3062,0,,,,,,,,,0,,,0,,,
39,Concord Avenue,East of Fresh Pond Parkway (West of Birch St.),"(42.386524999999899, -71.140135999799895)","Cordon Counts. Concord Avenue Residential Redevelopment, TIS, March 13, 2006. 75 New Street TIS, August, 2013.(counts done May 2012.). TPT citywide ATR counts May 2013. (2013 counts used wed & Thur Average)",14397,18508,,,,,,,17631,0,,,,,,,14097,,0,,,0,14256,12911,,,,,,,,,,1488,0,,,,,,,1125,,0,,,0,1032,1104,,,,,,,,,,1366,0,,,,,,,1089,,0,,,0,953,729,
40,Day Street,East of Massachusetts Ave,"(42.393569955399897, -71.1264374484999)",Cordon Counts,3100,1829,2077,,,,,,2406,0,,,,,,,0,,0,,,0,,,,,,,,,,,,167,0,,,,,,,,,0,,,0,,,,,,,,,,,,184,0,,,,,,,,,0,,,0,,,
41,Dewolfe Street,East of Memorial Drive,"(42.369242239400002, -71.117250390199899)",Cordon Counts,5375,6750,6606,,,,,,4561,0,,,,,,,0,,0,,,0,,,,,,,,,,,,87,0,,,,,,,,,0,,,0,,,,,,,,,,,,75,0,,,,,,,,,0,,,0,,,
42,Dover Street,East of Massachusetts Avenue,"(42.394681085800002, -71.126808975900005)",Cordon Counts,3550,2526,3268,,,,,,3212,0,,,,,,,0,,0,,,0,,,,,,,,,,,,390,0,,,,,,,,,0,,,0,,,,,,,,,,,,230,0,,,,,,,,,0,,,0,,,
43,First Street,North of Land Boulevard,"(42.363719646699899, -71.078593025900005)",Cordon Counts,,,,,,,,,5615,0,,,,,,,0,,0,,,0,,,,,,,,,,,,384,0,,,,,,,,,0,,,0,,,,,,,,,,,,170,0,,,,,,,,,0,,,0,,,
44,Fresh Pond Parkway,South of Concord Avenue,"(42.386145593199899, -71.141111592399895)",Cordon Counts,,,,,,,,,41450,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2823,0,,,,,,,,,0,,,0,,,,,,,,,,,,2725,0,,,,,,,,,0,,,0,,,
49,Cambridge Street,West of First Street,"(42.3706573495, -71.077045044000002)","One First Street  TIS, Oct. 2003.",,,,,,,,,,0,,,,9800,,,0,,0,,,0,,,,,,,,,,,,,0,,,,675,,,,,0,,,0,,,,,,,,,,,,,0,,,,690,,,,,0,,,0,,,
50,Broadway,East of Moore St,"(42.366298624599899, -71.0933920218)",210 Broadway TIS July 1999,,,,,,,,,12690,0,,,,,,,0,,0,,,0,,,,,,,,,,,,945,0,,,,,,,,,0,,,0,,,,,,,,,,,,885,0,,,,,,,,,0,,,0,,,
116,Binney Street,East of One Kendall garage exit driveway,"(42.3669085039, -71.088902594199894)","Proposed Residential Development, TIS, One Kendall, June 2004.",,,,,,,,,,0,,,,,3250,,0,,0,,,0,,,,,,,,,,,,,0,,,,,377,,,,0,,,0,,,,,,,,,,,,,0,,,,,442,,,,0,,,0,,,
55,Binney St,East of Cardinal Medeiros Ave,"(42.367567721699899, -71.090406014600006)","Amgen Center, One Kendall Square TIS March 1999",,,,,,,,,,4710,,,,,,,0,,0,,,0,,,,,,,,,,,,,520,,,,,,,,,0,,,0,,,,,,,,,,,,,460,,,,,,,,,0,,,0,,,
56,Cardinal Medeiros Ave,North of Binney St,"(42.367883313599897, -71.090893441700004)","Amgen Center, One Kendall Square TIS March 1999",,,,,,,,,,8100,,,,,,,0,,0,,,0,,,,,,,,,,,,,620,,,,,,,,,0,,,0,,,,,,,,,,,,,660,,,,,,,,,0,,,0,,,
58,Broadway,West of Trowbridge St. 2013 TP&T Citywide Counts;,"(42.373248695000001, -71.110976437399898)","Cambridge Main Public Library Expansion TIS, 12/2003.2013 TP&T Citywide Counts(Used Wed &Thu Average)",,,,,,,,,,0,,,14750,,,,0,,0,,,0,,9037,,,,,,,,,,,0,,,,,,,,,0,,,0,,684,,,,,,,,,,,0,,,1150,,,,,,0,,,0,,810,
60,Acorn Park Drive,South of Frontage Road,"(42.3987762987, -71.153647097299896)","Residences at Rt. 2. TIS, Jan. 2009 and Dec. 2010.",,,,,,,,,,0,,,,,,,0,,1350,,1746,0,,,,,,,,,,,,,0,,,,,,,,,300,,552,0,,,,,,,,,,,,,0,,,,,,,,,140,,61,0,,,
62,Fulkerson Street,North of Bent Street,"(42.3679933933999, -71.087813072700001)","301 Binney St. and 320 Bent Street TIS, April 2002.",,,,,,,,,,0,,,4674,,,,0,,0,,,0,,,,,,,,,,,,,0,,,420,,,,,,0,,,0,,,,,,,,,,,,,0,,,401,,,,,,0,,,0,,,
63,Binney Street,East of Fulkerson Street,"(42.366296077800001, -71.087331805199895)","301 Binney St., 320 Bent Street TIS, April 2002.",,,,,,,,,,0,,,13323,,,,0,,0,,,0,,,,,,,,,,,,,0,,,1099,,,,,,0,,,0,,,,,,,,,,,,,0,,,1046,,,,,,0,,,0,,,
64,Ames Street,Between Broadway and Main Street,"(42.363097999799898, -71.088101999399896)","Proposed Residences at Cambridge Center,May 2005, TIS.",,,,,,,,,,0,,,,,,6000,0,,0,,,0,,,,,,,,,,,,,0,,,,,,468,,,0,,,0,,,,,,,,,,,,,0,,,,,,534,,,0,,,0,,,
65,Galileo Galilei Way,Between Broadway and Main Street,"(42.3635764174999, -71.089793399200005)","Proposed Residences at Cambridge Center,May 2005, TIS.",,,,,,,,,,0,,,,,,13400,0,,0,,,0,,,,,,,,,,,,,0,,,,,,1103,,,0,,,0,,,,,,,,,,,,,0,,,,,,1079,,,0,,,0,,,
67,Galileo Galilei Way,North of Main Street,"(42.362818616200002, -71.089984713299899)","Traffic Impact Assessment/IPOP Analysis, Dec. 1999.",,,,,,,,,,12339,,,,,,,0,,0,,,0,,,,,,,,,,,,,1014,,,,,,,,,0,,,0,,,,,,,,,,,,,1155,,,,,,,,,0,,,0,,,
70,Bay State Road,East of Birch Street,"(42.3874438876, -71.138689822299895)","Concord Avenue Residential Redevelopman, TIS, March 13, 2006.",,,,,,,,,,0,,,,,,,4796,,0,,,0,,,,,,,,,,,,,0,,,,,,,447,,0,,,0,,,,,,,,,,,,,0,,,,,,,448,,0,,,0,,,
71,Alewife Brook Parkway,North of Cambridgepark Drive,"(42.395304699599897, -71.140656330499894)"," 30 CPD, TIS 1999. Cambridge Discovery Park TIS, September, 2004. 150/180 Cambridgepark Drive R&D Project, TIS, 8/4/2008. Residences@160 CPD TIS, 2/2012 (counts in Dec. 2011). 180R CPD TIS, 1/2014(counts 12/12).",,,,,,,,,,56550,,,,,50300,,0,,47015,,,0,43311,44938,,,,,,,,,,,3350,,,,,3089,,,,3400,,,0,2921,2584,,,,,,,,,,,3798,,,,,3635,,,,3299,,,0,2990,3143,
