Request ID,Status,Action Type,Date Submitted,Date Completed,Address,Platform,Submitted By
REQ491298,Closed,Repair Pothole in Street,06/18/2014 12:00:00 AM,06/24/2014 12:00:00 AM,"237 Pearl St
Cambridge, MA
(42.35889185600047, -71.10895300399966)",,kpark
REQ410799,Closed,Repair Pothole in Street,06/07/2012 12:00:00 AM,06/12/2012 12:00:00 AM,"104 Mt Auburn St
Cambridge, MA
(42.37283216200046, -71.12106118199966)",,web-services
REQ479685,Closed,Repair Pothole in Street,03/10/2014 12:00:00 AM,03/10/2014 12:00:00 AM,"23 Sidney St
Cambridge, MA
(42.362182773000484, -71.10050908299962)",,bsmyth
REQ478703,Closed,Repair Pothole in Street,02/26/2014 12:00:00 AM,02/26/2014 12:00:00 AM,"Sheridan St
Cambridge, MA
(42.38831034800046, -71.12866270099966)",,bsmyth
REQ425075,Closed,Repair Pothole in Street,10/02/2012 12:00:00 AM,10/05/2012 12:00:00 AM,"Phillips Pl
Cambridge, MA
(42.37666162400046, -71.12380245299966)",,web-services
REQ414776,Closed,Repair Pothole in Street,07/10/2012 12:00:00 AM,07/11/2012 12:00:00 AM,"3 Flint Way
Cambridge, MA
(42.366791640000486, -71.10600946299962)",iPhone,web-services
REQ424585,Closed,Repair Pothole in Street,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,"157 Auburn St
Cambridge, MA
(42.36346411000045, -71.10478520099963)",,web-services
REQ394341,Closed,Repair Pothole in Street,12/06/2011 12:00:00 AM,12/12/2011 12:00:00 AM,"Willard St
Cambridge, MA
(42.37571216000049, -71.12815773699964)",,web-services
REQ373868,Closed,Repair Pothole in Street,05/26/2011 12:00:00 AM,06/13/2011 12:00:00 AM,"5 May St
Cambridge, MA
(42.37833200300048, -71.15382516299962)",,web-services
REQ370670,Closed,Repair Pothole in Street,04/28/2011 12:00:00 AM,04/29/2011 12:00:00 AM,"6 Fainwood Cir
Cambridge, MA
(42.37334723100048, -71.10305562599967)",,web-services
REQ438180,Closed,Repair Pothole in Street,02/06/2013 12:00:00 AM,02/07/2013 12:00:00 AM,"3 Central Sq
Cambridge, MA
(42.36513722300049, -71.10448906499965)",,web-services
REQ398019,Closed,Repair Pothole in Street,01/25/2012 12:00:00 AM,01/30/2012 12:00:00 AM,"5 Third St
Cambridge, MA
(42.37215692500047, -71.07961590899964)",,web-services
REQ476004,Closed,Repair Pothole in Street,02/04/2014 12:00:00 AM,02/04/2014 12:00:00 AM,"Berkeley St
Cambridge, MA
(42.377872211000465, -71.12480604799964)",,bsmyth
REQ475410,Closed,Repair Pothole in Street,01/27/2014 12:00:00 AM,02/06/2014 12:00:00 AM,"50 Craigie St
Cambridge, MA
(42.37808370500045, -71.12955317499967)",,web-services
REQ442718,Closed,Repair Pothole in Street,03/27/2013 12:00:00 AM,03/28/2013 12:00:00 AM,"480 Brookline St
Cambridge, MA
(42.35446912600048, -71.11041782399963)",iPhone,web-services
REQ455915,Closed,Repair Pothole in Street,07/24/2013 12:00:00 AM,08/08/2013 12:00:00 AM,"1695 Massachusetts Ave
Cambridge, MA
(42.38297569800045, -71.11954362599965)",,web-services
REQ416135,Closed,Repair Pothole in Street,07/13/2012 12:00:00 AM,07/16/2012 12:00:00 AM,"583 Massachusetts Ave
Cambridge, MA
(42.36486413200049, -71.10274566199962)",iPhone,web-services
REQ409677,Closed,Repair Pothole in Street,05/31/2012 12:00:00 AM,06/04/2012 12:00:00 AM,"Seventh St
Cambridge, MA
(42.37114061200049, -71.08568218499965)",,web-services
REQ422536,Closed,Repair Pothole in Street,09/05/2012 12:00:00 AM,09/12/2012 12:00:00 AM,"Aberdeen Ave
Cambridge, MA
(42.378699724000455, -71.14739182299962)",,web-services
REQ371575,Closed,Repair Pothole in Street,05/06/2011 12:00:00 AM,05/06/2011 12:00:00 AM,"26 Magoun St
Cambridge, MA
(42.39999172200049, -71.13526094699967)",,web-services
