LENGTH,the_geom,STREET,ST_TYPE,COMMENTS,BIKE_FAC,PBIKE_FAC,EditDate,Editor,Shape_len
165.73814729139,"MULTILINESTRING ((-71.13039528688387 42.376137643858186, -71.13040724084503 42.3760489939418, -71.13045192960067 42.3757164739619, -71.13045614694468 42.375685095353205))",Sparks St,St,,1,0,,,165.738147298
87.50547554255,"MULTILINESTRING ((-71.13045614694468 42.375685095353205, -71.13046090613157 42.375649657261626, -71.13048829750555 42.37544616271669))",Sparks St,St,,1,0,,,87.5054755429
223.92968659524,"MULTILINESTRING ((-71.13031388169092 42.37674914506621, -71.13032696512032 42.37665092199846, -71.13038197119023 42.37623764984328, -71.13039528688387 42.376137643858186))",Sparks St,St,,1,0,,,223.929686598
418.91490075358,"MULTILINESTRING ((-71.13016030085217 42.37789301037058, -71.13018707804646 42.37769994148092, -71.13029979411819 42.37685452692332, -71.13031388169092 42.37674914506621))",Sparks St,St,,1,0,,,418.914900753
294.82271896802,"MULTILINESTRING ((-71.10950181925442 42.37961678461987, -71.109271162273 42.37977282507425, -71.10882857735868 42.38009613663822, -71.10871629468205 42.38017813178598))",Scott St,St,,3,0,,,294.822718976
349.90904240604,"MULTILINESTRING ((-71.10972809367198 42.372752075665765, -71.10979663315038 42.37264981700005, -71.11026419288108 42.371951717924865, -71.11030412036853 42.37189214212753))",Ellery St,St,,1,0,,,349.909042417
188.49120108776,"MULTILINESTRING ((-71.09998228616361 42.363188055299375, -71.10012547440482 42.36327139704527, -71.10016643289872 42.363295220865126, -71.10053104233036 42.36350728815569))",Massachusetts Ave,Ave,,1,0,,,188.491201092
139.00398026744,"MULTILINESTRING ((-71.09958002687321 42.36295036264769, -71.09968007526652 42.363009489158394, -71.09989506581515 42.36313651990724, -71.09998228616361 42.363188055299375))",Massachusetts Ave,Ave,,1,0,,,139.003980264
117.35569777489,"MULTILINESTRING ((-71.09946088758828 42.3678521379075, -71.09948744032967 42.3678138407024, -71.09954566229965 42.36772982763211, -71.09960011252953 42.367651207237586, -71.09965937967887 42.36756571594327))",Norfolk St,St,,3,0,,,117.355697776
136.25321567901,"MULTILINESTRING ((-71.09900054170136 42.36851899155834, -71.099071991037 42.36841504795645, -71.09914344013781 42.368311104307736, -71.09920084580551 42.36822758250759, -71.09922952964585 42.36818589013218))",Norfolk St,St,,3,0,,,136.253215678
139.16562065313,"MULTILINESTRING ((-71.09915407394237 42.37351160663626, -71.09924263558159 42.373523001269895, -71.09956615424105 42.37356457557359, -71.09966151994848 42.373576844232346))",Cambridge St,St,,1,0,,,139.16562065
278.37010242367,"MULTILINESTRING ((-71.09813930324033 42.37338000006748, -71.09835281036776 42.37340769256677, -71.09903570901356 42.37349626634893, -71.09915407394237 42.37351160663626))",Cambridge St,St,,1,0,,,278.370102431
