CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
23730000,UTAH,POINT (-122.40545417189192 37.75433723137436),ST,23730000
22141000,JOOST,POINT (-122.43974776014164 37.73236806396732),AVE,22141000
27966000,JOHN F KENNEDY,POINT (-122.5109259470119 37.77043567583329),DR,27966000
21349000,SAN JOSE,POINT (-122.42266944527441 37.74394224109009),AVE,21349000
24388000,MISSION,POINT (-122.41861821634723 37.77305345411757),ST,24388000
50222000,TILLMAN,POINT (-122.40570976315199 37.78918186206256),PL,50222000
27413000,24TH,POINT (-122.48222116265117 37.759595723492176),AVE,27413000
25125000,SALMON,POINT (-122.41254065701172 37.79618740092784),ST,25125000
21264000,BROOK,POINT (-122.4230899070404 37.74064188615599),ST,21264000
33593000,PORTOLA,POINT (-122.45446744612599 37.74371814245612),DR,33593000
26478000,STANYAN,POINT (-122.45497837621843 37.77632235896378),ST,26478000
26581000,BUCHANAN,POINT (-122.43201590001351 37.79657475292712),ST,26581000
50585000,BELGRAVE,POINT (-122.45190430039537 37.75944794891266),AVE,50585000
25572000,LEAVENWORTH,POINT (-122.41834134242518 37.804070022326144),ST,25572000
30049000,CALIFORNIA,POINT (-122.39639041504749 37.79366377811636),ST,30049000
51642000,INNES,POINT (-122.37835405221807 37.73347036679646),AVE,51642000
27319000,NORIEGA,POINT (-122.47433459583593 37.75433402988761),ST,27319000
23770000,RHODE ISLAND,POINT (-122.40244334418895 37.763503459611314),ST,23770000
21737000,ITALY,POINT (-122.4395003750605 37.71846722595782),AVE,21737000
22254000,HEARST,POINT (-122.45340856142971 37.73067203612568),AVE,22254000
52232000,SAN BRUNO,POINT (-122.40113002709128 37.72166868369782),AVE,52232000
21999000,BERKELEY,POINT (-122.43906017586673 37.73916659338697),WAY,21999000
21647000,EDINBURGH,POINT (-122.42965212555264 37.72434333705369),ST,21647000
26361000,BRODERICK,POINT (-122.44078384288323 37.78131005700107),ST,26361000
22376000,REPOSA,POINT (-122.4491984663575 37.74082931198449),WAY,22376000
20479000,GOULD,POINT (-122.3976681355068 37.72287427695905),ST,20479000
21527000,MOUNT VERNON,POINT (-122.4451797855145 37.71657567304997),AVE,21527000
22723000,GARFIELD,POINT (-122.46985225729819 37.71965223287409),ST,22723000
23811000,03RD,POINT (-122.39430003733213 37.78008973028666),ST,23811000
34073000,09TH TI,POINT (-122.37104242271202 37.824815717507164),ST,34073000
20878000,UNIVERSITY,POINT (-122.41197305800613 37.72145792768385),ST,20878000
21962000,ADDISON,POINT (-122.43371064801944 37.74008092056229),ST,21962000
21253000,CORTLAND,POINT (-122.42027504462223 37.739984557426695),AVE,21253000
22756000,OCEAN,POINT (-122.46733067825251 37.72777203806309),AVE,22756000
20813000,OAKDALE,POINT (-122.40430629229422 37.74252073412632),AVE,20813000
33040000,16TH,POINT (-122.40854424234205 37.765722600161844),ST,33040000
23290000,PACHECO,POINT (-122.48585711922024 37.750084563200794),ST,23290000
26168000,ORD,POINT (-122.44028519902128 37.7634933381456),CT,26168000
20631000,GIRARD,POINT (-122.40360091927764 37.724975587419415),ST,20631000
53028000,KEPPLER,POINT (-122.37692440320443 37.827326428542975),CT,53028000
25612000,JERSEY,POINT (-122.42625074286595 37.75096238826819),ST,25612000
24769000,VERDI,POINT (-122.40379710331999 37.79789357700019),PL,24769000
26178000,LOWER,POINT (-122.44379547014293 37.763295595866595),TER,26178000
21200000,RICHLAND,POINT (-122.41675951998033 37.73560466546946),AVE,21200000
24350000,KISSLING,POINT (-122.41500165321965 37.772649473998655),ST,24350000
32860000,OAK ACCESS,POINT (-122.45329513196276 37.771390190417094),RD,32860000
20777000,HELENA,POINT (-122.40468222376543 37.73639219272453),ST,20777000
51566000,25TH,POINT (-122.4434299916572 37.7490905448597),ST,51566000
54231000,BALTIMORE,POINT (-122.43256981203487 37.70876800644106),WAY,54231000
25495000,REDFIELD,POINT (-122.4148761877922 37.80068445370068),ALY,25495000
25093000,TAYLOR,POINT (-122.41264965727603 37.792552336754994),ST,25093000
24984000,SABIN,POINT (-122.40671823433784 37.79235226189566),PL,24984000
27521000,26TH,POINT (-122.48526202472691 37.77252041982986),AVE,27521000
24475000,VAN NESS,POINT (-122.4204519020291 37.78150997061181),AVE,24475000
24764000,MONTGOMERY,POINT (-122.40354916727402 37.79667132305735),ST,24764000
52082000,FORT FUNSTON,POINT (-122.49954360473495 37.71266971268049),RD,52082000
30047000,SACRAMENTO,POINT (-122.41192994408037 37.7926445051445),ST,30047000
22421000,JUANITA,POINT (-122.45162570402579 37.74450281259112),WAY,22421000
23015000,STRATFORD,POINT (-122.47361077650058 37.71998055750954),DR,23015000
21889000,LAIDLEY,POINT (-122.43034955331298 37.74019960692891),ST,21889000
22846000,MIRALOMA,POINT (-122.45912284792823 37.74013802432872),DR,22846000
23696000,24TH,POINT (-122.40059650598236 37.753344062106024),ST,23696000
22879000,KENSINGTON,POINT (-122.4619752625845 37.74295712487963),WAY,22879000
51427000,06TH,POINT (-122.46481698606149 37.78837755901816),AVE,51427000
22437000,PORTOLA,POINT (-122.45226885598589 37.74517381205752),DR,22437000
23991000,FOLSOM,POINT (-122.41423350930643 37.75409888283819),ST,23991000
25549000,LARKIN,POINT (-122.42068880147033 37.79897105678115),ST,25549000
23882000,DECATUR,POINT (-122.40654518233545 37.7728607496386),ST,23882000
22662000,JULES,POINT (-122.4612105475138 37.72494970117645),AVE,22662000
20369000,SCHWERIN,POINT (-122.41196819706332 37.70921035234348),ST,20369000
23000000,15TH,POINT (-122.47131911737722 37.746984218402645),AVE,23000000
24225000,TREAT,POINT (-122.4126108380924 37.767538342394616),AVE,24225000
23126000,LAKE MERCED,POINT (-122.48655207268045 37.729585010598264),BLVD,23126000
22098000,NIAGARA,POINT (-122.44590919588786 37.718827696015175),AVE,22098000
51176000,WEDEMEYER,POINT (-122.47335420985458 37.787491817523005),ST,51176000
24731000,CALIFORNIA,POINT (-122.40382799938153 37.79271713183143),ST,24731000
21115000,FRANCONIA,POINT (-122.40782840272553 37.74603469112208),ST,21115000
51863000,BRADFORD,POINT (-122.40968708447953 37.73765463273906),ST,51863000
20329000,CAMPBELL,POINT (-122.40382283793595 37.714395520756256),AVE,20329000
30709000,VAN NESS,POINT (-122.42136006336149 37.78521438365283),AVE,30709000
25949000,OAK,POINT (-122.43082471319346 37.773972520822284),ST,25949000
26613000,PIERCE,POINT (-122.43602866437455 37.78284676206979),ST,26613000
20900000,SOMERSET,POINT (-122.4085485112026 37.729002897575654),ST,20900000
20366000,DELTA,POINT (-122.41044102592122 37.71034975554144),ST,20366000
